oncID	ONCacs	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	Vis	F435W	e_F435W	f_F435W	F555W	e_F555W	f_F555W	F658N	e_F658N	f_F658N	F775W	e_F775W	f_F775W	F850LP	e_F850LP	f_F850LP	type	Obs
1	1	83.54120400000001	-5.373961	1	0	05 34 09.889	-05 22 26.26	01	24.4078	 0.0869	1	23.8388	 0.1742	1	       	22.1858	0	21.4007	 0.0182	1	20.4673	 0.0185	1	2	2005-03-31T06:44:32
2	2	83.54270799999999	-5.364525	1	0	05 34 10.250	-05 21 52.29	01	       	25.9964	0	       	25.8158	0	       	22.3662	0	23.0738	 0.1010	1	21.7399	 0.0658	1	1	2005-03-31T06:44:32
3	3	83.546296	-5.381794	1	0	05 34 11.111	-05 22 54.46	01	13.8280	       	3	13.6283	       	3	11.0176	       	3	13.1155	       	3	12.1555	       	3	1	2005-03-31T06:44:32
4	4	83.546446	-5.344578	1	0	05 34 11.147	-05 20 40.48	01	       	26.1107	0	       	25.8597	0	       	22.5356	0	22.4234	 0.0338	1	21.4191	 0.0419	1	1	2005-03-31T06:44:32
5	5	83.54842099999999	-5.369708	1	0	05 34 11.621	-05 22 10.95	01	       	26.0113	0	       	25.6485	0	19.8314	 0.1018	1	21.9795	 0.0225	1	20.4511	 0.0186	1	1	2005-03-31T06:44:32
6	6	83.54884200000001	-5.335642	1	0	05 34 11.722	-05 20 08.31	01	       	25.9150	0	       	25.9073	0	       	22.4685	0	22.8860	 0.0333	1	21.1893	 0.0351	1	1	2005-03-31T06:44:32
7	7	83.550067	-5.411064	1	0	05 34 12.016	-05 24 39.83	11	       	25.9512	0	       	25.4217	0	       	21.9786	0	23.2261	 0.1432	1	22.4958	 0.0612	1	1	2005-04-07T06:40:27
8	8	83.550104	-5.405411	1	0	05 34 12.025	-05 24 19.48	11	21.2241	 0.0182	1	19.3782	 0.0112	1	17.3387	 0.0141	1	15.7541	 0.0019	2	14.7022	 0.0021	2	1	2005-04-07T06:40:27
9	9	83.550262	-5.3708279999999995	1	0	05 34 12.063	-05 22 14.98	01	       	26.0056	0	24.1313	 0.0616	1	       	22.3218	0	21.5570	 0.0192	1	20.3896	 0.0215	1	1	2005-03-31T06:44:32
10	10	83.550942	-5.419003	1	0	05 34 12.226	-05 25 08.41	11	       	25.6483	0	       	25.6910	0	       	21.8584	0	       	24.9370	0	21.7234	 0.0428	1	7	2005-04-07T06:40:27
